TRIAL_LABEL	TRIAL_INDEX	RECORDING_SESSION_LABEL	RIGHT_GAZE_X	RIGHT_GAZE_Y	RIGHT_FIX_INDEX	RIGHT_SACCADE_INDEX	RIGHT_IN_SACCADE	RIGHT_PUPIL_SIZE	LEFT_GAZE_X	LEFT_GAZE_Y	LEFT_FIX_INDEX	LEFT_SACCADE_INDEX	LEFT_IN_SACCADE	LEFT_PUPIL_SIZE
Trial: 1	1	6blk_7	502.40	426.50	1	NaN	0	6955.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	6blk_7	502.00	426.10	1	NaN	0	6961.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	6blk_7	501.90	425.70	1	NaN	0	6972.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	6blk_7	501.50	425.50	1	NaN	0	6986.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	6blk_7	501.20	425.30	1	NaN	0	7000.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	6blk_7	501.60	425.20	1	NaN	0	7008.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	6blk_7	502.30	425.00	1	NaN	0	7003.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	6blk_7	503.00	424.80	1	NaN	0	6982.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	6blk_7	503.10	425.40	1	NaN	0	6957.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	6blk_7	503.10	426.00	1	NaN	0	6942.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	6blk_7	502.80	426.40	1	NaN	0	6940.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	6blk_7	502.50	426.10	1	NaN	0	6948.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	6blk_7	502.20	425.80	1	NaN	0	6963.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	6blk_7	502.20	425.60	1	NaN	0	6980.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	6blk_7	502.20	425.60	1	NaN	0	6997.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	6blk_7	502.50	425.60	1	NaN	0	7007.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	6blk_7	502.80	425.50	1	NaN	0	7008.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	6blk_7	503.00	425.50	1	NaN	0	6994.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	6blk_7	503.00	425.50	1	NaN	0	6975.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	6blk_7	503.10	425.80	1	NaN	0	6956.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	6blk_7	503.10	426.30	1	NaN	0	6944.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	6blk_7	502.90	426.80	1	NaN	0	6944.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	6blk_7	502.60	426.80	1	NaN	0	6958.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	6blk_7	502.30	426.70	1	NaN	0	6976.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	6blk_7	502.40	426.50	1	NaN	0	6990.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	6blk_7	502.50	426.40	1	NaN	0	6995.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	6blk_7	502.60	426.40	1	NaN	0	6994.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	6blk_7	502.80	427.00	1	NaN	0	6980.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	6blk_7	503.00	427.60	1	NaN	0	6958.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	6blk_7	503.20	428.30	1	NaN	0	6934.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	6blk_7	503.20	428.40	1	NaN	0	6922.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	6blk_7	502.90	428.50	1	NaN	0	6927.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	6blk_7	502.70	428.60	1	NaN	0	6936.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	6blk_7	502.40	428.40	1	NaN	0	6954.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	6blk_7	502.20	428.10	1	NaN	0	6967.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	6blk_7	502.10	428.00	1	NaN	0	6979.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	6blk_7	501.90	428.80	1	NaN	0	6979.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	6blk_7	501.80	429.50	1	NaN	0	6965.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	6blk_7	501.90	430.10	1	NaN	0	6942.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	6blk_7	502.20	430.10	1	NaN	0	6918.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	6blk_7	502.40	429.30	1	NaN	0	6903.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	6blk_7	502.50	428.40	1	NaN	0	6904.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	6blk_7	502.60	427.40	1	NaN	0	6918.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	6blk_7	502.60	427.00	1	NaN	0	6939.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	6blk_7	502.70	426.40	1	NaN	0	6956.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	6blk_7	502.60	425.90	1	NaN	0	6967.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	6blk_7	502.50	425.80	1	NaN	0	6966.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	6blk_7	502.30	426.40	1	NaN	0	6951.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	6blk_7	502.50	427.50	1	NaN	0	6925.00	NaN	NaN	NaN	NaN	NaN	NaN
