TRIAL_LABEL	TRIAL_INDEX	RECORDING_SESSION_LABEL	RIGHT_GAZE_X	RIGHT_GAZE_Y	RIGHT_FIX_INDEX	RIGHT_SACCADE_INDEX	RIGHT_IN_SACCADE	RIGHT_PUPIL_SIZE	LEFT_GAZE_X	LEFT_GAZE_Y	LEFT_FIX_INDEX	LEFT_SACCADE_INDEX	LEFT_IN_SACCADE	LEFT_PUPIL_SIZE
Trial: 1	1	6blk_3	523.70	405.00	1	NaN	0	6554.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	6blk_3	523.40	404.80	1	NaN	0	6536.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	6blk_3	523.20	404.50	1	NaN	0	6517.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	6blk_3	523.30	404.20	1	NaN	0	6507.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	6blk_3	523.40	404.20	1	NaN	0	6510.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	6blk_3	523.40	404.20	1	NaN	0	6521.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	6blk_3	523.70	404.30	1	NaN	0	6542.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	6blk_3	524.00	404.40	1	NaN	0	6560.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	6blk_3	524.30	404.40	1	NaN	0	6571.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	6blk_3	524.30	404.20	1	NaN	0	6570.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	6blk_3	524.40	403.90	1	NaN	0	6562.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	6blk_3	524.20	403.40	1	NaN	0	6546.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	6blk_3	524.10	402.90	1	NaN	0	6530.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	6blk_3	523.90	402.60	1	NaN	0	6518.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	6blk_3	523.80	402.50	1	NaN	0	6519.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	6blk_3	524.10	402.50	1	NaN	0	6528.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	6blk_3	524.50	401.70	1	NaN	0	6547.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	6blk_3	524.80	400.90	1	NaN	0	6563.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	6blk_3	524.70	400.30	1	NaN	0	6573.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	6blk_3	524.70	400.40	1	NaN	0	6573.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	6blk_3	524.40	400.50	1	NaN	0	6567.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	6blk_3	524.20	400.50	1	NaN	0	6546.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	6blk_3	524.30	400.70	1	NaN	0	6527.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	6blk_3	524.60	401.10	1	NaN	0	6515.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	6blk_3	525.00	401.40	1	NaN	0	6518.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	6blk_3	524.90	401.70	1	NaN	0	6530.00	NaN	NaN	NaN	NaN	NaN	NaN
