TRIAL_LABEL	TRIAL_INDEX	RECORDING_SESSION_LABEL	RIGHT_GAZE_X	RIGHT_GAZE_Y	RIGHT_FIX_INDEX	RIGHT_SACCADE_INDEX	RIGHT_IN_SACCADE	RIGHT_PUPIL_SIZE	LEFT_GAZE_X	LEFT_GAZE_Y	LEFT_FIX_INDEX	LEFT_SACCADE_INDEX	LEFT_IN_SACCADE	LEFT_PUPIL_SIZE
Trial: 1	1	5blk_10	506.00	403.20	1	NaN	0	7001.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	5blk_10	505.90	402.50	1	NaN	0	6995.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	5blk_10	506.00	402.00	1	NaN	0	6990.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	5blk_10	506.00	402.10	1	NaN	0	6990.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	5blk_10	505.90	402.40	1	NaN	0	6995.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	5blk_10	505.80	403.00	1	NaN	0	7001.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	5blk_10	506.20	403.60	1	NaN	0	7009.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	5blk_10	506.70	404.10	1	NaN	0	7015.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	5blk_10	506.90	404.00	1	NaN	0	7019.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	5blk_10	506.50	403.60	1	NaN	0	7019.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	5blk_10	506.20	403.10	1	NaN	0	7013.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	5blk_10	505.80	402.60	1	NaN	0	7005.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	5blk_10	505.50	402.30	1	NaN	0	6997.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	5blk_10	505.40	402.10	1	NaN	0	6997.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	5blk_10	505.70	402.30	1	NaN	0	6998.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	5blk_10	505.90	402.60	1	NaN	0	7003.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	5blk_10	506.10	403.10	1	NaN	0	7008.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	5blk_10	506.30	403.30	1	NaN	0	7015.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	5blk_10	506.60	403.40	1	NaN	0	7019.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	5blk_10	506.60	403.40	1	NaN	0	7019.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	5blk_10	506.50	403.10	1	NaN	0	7008.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	5blk_10	506.20	402.70	1	NaN	0	6997.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	5blk_10	505.90	402.30	1	NaN	0	6989.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	5blk_10	505.70	402.20	1	NaN	0	6991.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	5blk_10	505.70	402.60	1	NaN	0	6993.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	5blk_10	505.80	403.00	1	NaN	0	6999.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	5blk_10	506.00	403.80	1	NaN	0	7005.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	5blk_10	506.30	404.20	1	NaN	0	7012.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	5blk_10	506.50	404.40	1	NaN	0	7015.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	5blk_10	506.80	403.90	1	NaN	0	7015.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	5blk_10	506.90	403.30	1	NaN	0	7010.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	5blk_10	507.00	402.80	1	NaN	0	7005.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	5blk_10	507.00	402.60	1	NaN	0	6999.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	5blk_10	507.00	402.80	1	NaN	0	6999.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	5blk_10	506.70	403.00	1	NaN	0	6999.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	5blk_10	506.40	403.20	1	NaN	0	7001.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	5blk_10	506.30	403.30	1	NaN	0	7005.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	5blk_10	506.50	403.50	1	NaN	0	7008.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	5blk_10	506.80	404.00	1	NaN	0	7010.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	5blk_10	507.00	404.40	1	NaN	0	7011.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	5blk_10	506.90	404.50	1	NaN	0	7007.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	5blk_10	506.90	403.90	1	NaN	0	7004.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	5blk_10	506.80	403.20	1	NaN	0	7000.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	5blk_10	506.70	402.90	1	NaN	0	6999.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	5blk_10	506.80	403.30	1	NaN	0	6999.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	5blk_10	507.00	403.80	1	NaN	0	6999.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	5blk_10	507.20	403.90	1	NaN	0	7005.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	5blk_10	507.40	404.40	1	NaN	0	7012.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	5blk_10	507.50	404.90	1	NaN	0	7019.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	5blk_10	507.50	405.30	1	NaN	0	7017.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	5blk_10	507.60	405.10	1	NaN	0	7014.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	5blk_10	507.30	404.40	1	NaN	0	7005.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	5blk_10	507.00	403.80	1	NaN	0	6999.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	5blk_10	506.90	403.60	1	NaN	0	6998.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	5blk_10	507.60	404.10	1	NaN	0	7003.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	5blk_10	508.20	404.50	1	NaN	0	7009.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	5blk_10	508.50	404.60	1	NaN	0	7010.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	5blk_10	508.40	404.80	1	NaN	0	7011.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	5blk_10	508.20	404.90	1	NaN	0	7013.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	5blk_10	508.10	404.50	1	NaN	0	7015.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	5blk_10	508.00	403.80	1	NaN	0	7011.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	5blk_10	508.00	403.10	1	NaN	0	7004.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	5blk_10	507.90	403.50	1	NaN	0	6998.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	5blk_10	507.80	404.10	1	NaN	0	7000.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	5blk_10	507.70	404.70	1	NaN	0	7002.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	5blk_10	507.70	404.60	1	NaN	0	7006.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	5blk_10	507.90	404.50	1	NaN	0	7008.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	5blk_10	508.20	404.40	1	NaN	0	7010.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	5blk_10	508.40	404.30	1	NaN	0	7010.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	5blk_10	508.50	404.10	1	NaN	0	7009.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	5blk_10	508.60	403.90	1	NaN	0	7005.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	5blk_10	508.40	403.70	1	NaN	0	7002.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	5blk_10	508.00	403.50	1	NaN	0	6999.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	5blk_10	508.00	403.70	1	NaN	0	7000.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	5blk_10	508.40	404.10	1	NaN	0	7001.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	5blk_10	508.60	404.50	1	NaN	0	7002.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	5blk_10	508.50	404.70	1	NaN	0	7002.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	5blk_10	508.50	404.80	1	NaN	0	7003.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	5blk_10	508.70	405.00	1	NaN	0	7004.00	NaN	NaN	NaN	NaN	NaN	NaN
Trial: 1	1	5blk_10	508.80	405.20	1	NaN	0	7004.00	NaN	NaN	NaN	NaN	NaN	NaN
